"rating","text","ts","bot_percentage","profileimage"
"","","","0","http://pbs.twimg.com/profile_images/508960761826131968/LnvhR8ED_400x400.png"
"0.05","When she was just 3 years old, she disappeared on a busy street in China. 24 years later, she finally had an emotio… https://t.co/lB7C23m21b","1522991137.0","",""
"-0.25","Disgraced former South Korean President Park Geun-hye found guilty in corruption case and sentenced to 24 years in… https://t.co/TwgUAYh35L","1522988706.0","",""
"0.0","""I realized, yes, I have a paralyzed vocal cord, but I also have a second chance of life.""\n\nJoseph Sakran was 17 wh… https://t.co/QmCFFSpkdh","1522988141.0","",""
"0.17857142857142858","Special counsel Robert Mueller's prosecutors reveal that they're using information related to the searches of Paul… https://t.co/GDVfbu64ra","1522987627.0","",""
"-0.4","UFC star Conor McGregor was charged with three counts of assault and one count of criminal mischief after an allege… https://t.co/0iVTjz9DWq","1522987004.0","",""
"0.25","Trump will not be the first President to deploy National Guard troops to assist in border security -- in fact, both… https://t.co/xd0nAi2JeM","1522986528.0","",""
"0.0","A jury awarded $30 million in compensatory damages to a man who got cancer after decades of using talcum powder. Hi… https://t.co/3I1nH2xRgC","1522985571.0","",""
"0.0","These are the Central American migrants crossing Mexico in a caravan https://t.co/EbUEoBKhac https://t.co/CVZAgzNZrA","1522983710.0","",""
"-0.1","US Vice President Mike Pence recalled recently meeting the US Air Force Thunderbird pilot who was killed in a train… https://t.co/rMiZKYnMVB","1522981826.0","",""
"0.0","Yes, Facebook is scanning your messages https://t.co/NZKEnDQy2p https://t.co/bbMCqwtI5s","1522980524.0","",""
"0.0","Female medics were asked to stop treating a collapsed official because women aren’t allowed in sumo rings… https://t.co/L34Dkyq3Gl","1522979857.0","",""
"-0.25","RT @cnni: BREAKING: Disgraced former South Korean President Park Geun-hye found guilty in corruption case and sentenced to 24 years in pris…","1522978582.0","",""
"0.0","The world's largest single-domed tropical greenhouse is coming to France https://t.co/uGHOY2az6r via @CNNStyle https://t.co/UY2RZuqHEM","1522978143.0","",""
"0.0","""Is the President a racist?"" \n\nSenator Tim Scott told CNN's Don Lemon that President Trump is not racist, but can b… https://t.co/ks1yZqfkAj","1522977568.0","",""
"0.0","The urban farms greening Paris https://t.co/KELiDAnTvw via @CNNStyle https://t.co/fYYEEmCHeg","1522977200.0","",""
"-0.3499999999999999","RT @CNNTonight: Republican strategist @ananavarro says EPA chief Scott Pruitt's recent media interview ""was so bad he made Betsy DeVos look…","1522977115.0","",""
"0.0","RT @CNNTonight: Sen. Tim Scott tells CNN's @DonLemon that he doesn't believe President Trump is a racist. ""Can he be racially insensitive?…","1522977057.0","",""
"0.05","When she was just 3 years old, she disappeared on a busy street in China. 24 years later, she finally had an emotio… https://t.co/mRDC1gaM0l","1522976577.0","",""
"-0.05","Six human rights activists in Vietnam have been sentenced to between seven and 15 years in jail -- a move condemned… https://t.co/2Luxz0RbhS","1522976420.0","",""
"-0.05","In 2014, a 23-year-old woman with cerebral palsy was allegedly gang-raped and thrown from a rooftop. \n\nA Human Righ… https://t.co/nBVlqa3K9W","1522975564.0","",""
"-0.05","Ultimate Fighting Championship star Conor McGregor turned himself in Thursday evening after an alleged bus attack h… https://t.co/1aHbtkJI2r","1522974906.0","",""
"0.17222222222222222","The island paradise of Boracay is shutting down temporarily over concerns the Philippine island's famous beaches an… https://t.co/2jCClAcD8v","1522974744.0","",""
"0.0","Malaysian Prime Minister Najib Razak announced the dissolution of parliament on Friday, officially kicking off elec… https://t.co/FieW5b2GDE","1522974364.0","",""
"0.0","""Why is President Trump suddenly in a rush to get out of Syria? Could the answer ... lead us back to Russian Presid… https://t.co/FAGmEKP80w","1522973763.0","",""
"0.16666666666666666","Director Steven Spielberg says casting a female to play the iconic role of Indiana Jones could actually become a re… https://t.co/ApkDIWCQpi","1522972867.0","",""
"0.0","The personal data and payment information of Sears and Delta Air Lines customers may have been exposed in a data br… https://t.co/XoBjU8sM0x","1522971963.0","",""
"0.0","Yes, Facebook is scanning your messages https://t.co/iz5A7DyYin https://t.co/g02QdQqIq9","1522971067.0","",""
"0.0","An Illinois town has banned assault weapons. The penalty if you keep one? Up to $1,000 a day. https://t.co/YqR2AVLVwY","1522970163.0","",""
"0.0","A self-styled sex coach who claims to have insider knowledge of Moscow's attempts to meddle in the US election has… https://t.co/35gAuiZuTD","1522969265.0","",""
"-0.14999999999999997","""I will gladly work with the President when his ideas aren't stupid and detrimental to the United States,"" says Rep… https://t.co/AyLd6zCHcn","1522968395.0","",""
"0.0","The largest association of doctors in the United States says there is ""no medically valid reason"" to bar transgende… https://t.co/U0CLjxRFtO","1522967461.0","",""
"-0.7","Anger. Outrage. Disbelief. What women say about the gender pay gap https://t.co/38YWzyvEci https://t.co/NHQDAbh74S","1522966821.0","",""
"-0.05","Ultimate Fighting Championship star Conor McGregor turned himself in Thursday evening after an alleged bus attack h… https://t.co/XjiV1TEjxC","1522966496.0","",""
"0.0","Female medics were asked to stop treating a collapsed official because women aren’t allowed in sumo rings… https://t.co/ctmTboCTsc","1522965662.0","",""
"0.0","Scott Pruitt is everything Trump loves in an underling. Also everything he hates. | Analysis by @CillizzaCNN… https://t.co/zWIGF2xivR","1522964466.0","",""
"-0.6","Artificial intelligence scientists from around the world called for a boycott of a South Korean university over con… https://t.co/QShjl6xjbE","1522964028.0","",""
"0.0","Family members of the woman who opened fire at YouTube's headquarters this week were stunned by news of the attack,… https://t.co/VbQqqCFJjs","1522963263.0","",""
"-0.1","Vice President Mike Pence recalled recently meeting the US Air Force Thunderbird pilot who was killed in a training… https://t.co/UvQHacfLzz","1522962870.0","",""
"0.17857142857142858","Special counsel Robert Mueller's prosecutors revealed that they're using information related to the searches of Pau… https://t.co/RQnHg22noC","1522962707.0","",""
"0.5","Michigan State University fostered a culture that was more focused on protecting the school than the survivors of s… https://t.co/LYour8k9wm","1522962365.0","",""
"0.275","The US surgeon general has issued an advisory recommending that more Americans carry the opioid overdose-reversing… https://t.co/M7ReYvdB4J","1522962067.0","",""
"-0.6499999999999999","Democratic Rep. Ruben Gallego: I'll work with President Trump ""when his ideas aren't stupid"" https://t.co/NrgEwrpndc https://t.co/EdvyhChD3u","1522961646.0","",""
"0.0","Facebook should have known about these Russia-linked pages months ago. It only just deleted them.… https://t.co/b5UbdrKOYb","1522961164.0","",""
"0.17222222222222222","The FBI's top liaison on Capitol Hill is out.\n\nGreg Brower has stepped down after a year on the job. He was on the… https://t.co/O7LSyaNQKg","1522960868.0","",""
"0.06818181818181818","New York police released a video of this man pointing a metal object as if he were brandishing a gun. He was later… https://t.co/AsxHnHhzOT","1522960664.0","",""
"1.0","The Maldives is a tropical destination in the Indian Ocean best known for its 1,000-some islands and over-the-top e… https://t.co/VoeZWcwDnl","1522960266.0","",""
"0.0","RT @OutFrontCNN: When Presidential pants meet the fashion police: CNN's Jeanne Moos reports on the guy who wears the pants in the White Hou…","1522959697.0","",""
"0.0","""We knew sooner or later he was going to crack"": Stormy Daniels' lawyer reacts to Trump breaking his silence on thi… https://t.co/GnVINgobNi","1522959657.0","",""
"0.0","Australia launches investigation into Facebook over data scandal https://t.co/vasp0lQOy8 https://t.co/rTlKzZPP9t","1522959623.0","",""
"0.0","The future of former Secretary of State Rex Tillerson's unpopular agency restructure project is in doubt, despite $… https://t.co/hi29qlc0LV","1522959367.0","",""
"0.0","RT @AC360: ""We knew sooner or later he was going to crack"" Stormy Daniel’s lawyer on Trump saying today he did not know about Michael Cohen…","1522959304.0","",""
"-0.3125","Lindsay Lohan is being a ""mean girl"" to President Donald Trump on Twitter by offering to help get him a lawyer. She… https://t.co/p2k5ZIZxd2","1522959151.0","",""
"0.0","The White House is reviewing a proposal that would roll back protections for around 300 threatened species… https://t.co/ZNNUgRAlHh","1522958467.0","",""
"0.25857142857142856","The 17 victims of the shooting at Marjory Stoneman Douglas High School will be memorialized in a special issue of t… https://t.co/JozLeQ0HVu","1522958073.0","",""
"-0.1875","President Trump throws out his prepared remarks in West Virginia: ""To hell with it. That would have been a little b… https://t.co/VMPn1GKT7L","1522957888.0","",""
"0.06818181818181818","How New England Patriots player Julian Edelman helped stop a potential school shooting https://t.co/FGtB6taFLH https://t.co/ZOSoLkrFaf","1522957263.0","",""
"0.375","RT @AC360: Our @GaryTuchmanCNN is in Texas where he is discovering that not all the locals are so excited about President Trump's plan to s…","1522956797.0","",""
"0.0","The companies Trump has attacked on Twitter since his election:\n\nABC News\nAmazon\nBoeing\nCBS\nCNN\nComcast/MSNBC/NBC\nD… https://t.co/bUEbBkKggr","1522956661.0","",""
"0.13636363636363635","Why the new tax law could make your state tax bill go up https://t.co/EqbHkY37Of https://t.co/V15mxPB2j8","1522956068.0","",""
"-0.5","Donald Trump's illegal voters fantasy, part 281 | Analysis by @CillizzaCNN https://t.co/XXQStX5Fgf https://t.co/ObZJbyzeIM","1522955462.0","",""
"0.0","A sense of frenzied uncertainty has settled in inside the government agencies tasked with enacting President Trump'… https://t.co/bkAwkOFDph","1522955125.0","",""
"0.0","Target reaches a $3.74 million settlement in a class-action suit alleging that the retail giant's hiring process un… https://t.co/acFyB139N2","1522954845.0","",""
"0.0","RT @OutFrontCNN: President Trump says he is considering sending ""anywhere from 2,000 to 4,000"" National Guard troops to the southern border…","1522954764.0","",""
"0.2","Trump gets testy as his top military brass and national security team warn of the risks of Syria withdrawal… https://t.co/Ridtte6BQq","1522954762.0","",""
"-0.05","In 2014, a 23-year-old woman with cerebral palsy was allegedly gang-raped and thrown from a rooftop. \n\nA Human Righ… https://t.co/oM4Z1gnKR6","1522954020.0","",""
"0.0","What governors are saying about President Trump's National Guard border deployment https://t.co/19yN2OYdJq https://t.co/E2v1EmL40a","1522953901.0","",""
"0.0","Identical twins Gustavo and Otavio Pandolfo stood out during Hong Kong Art Week for their unapologetic escapism.\n\nT… https://t.co/OPzcDkjxrF","1522953708.0","",""
"-0.1","""OK, I'm blind... Now let's deal with it"": At 12 years old, Jake Olson found out he was going to go blind. But he d… https://t.co/DLkgRS0UA2","1522952995.0","",""
"0.0","""Donald Trump has a staff infection,"" Democratic Rep. Jamie Raskin says of the controversy over EPA chief Scott Pru… https://t.co/wOPJ0vLQWX","1522952623.0","",""
